x,rho,u,p
0,1,0,1
0.01,1,6.00733e-10,1
0.02,1,1.75495e-09,1
0.03,1,-1.33563e-09,1
0.04,1,-8.43981e-09,1
0.05,1,-3.59952e-09,1
0.06,1,2.64726e-08,1
0.07,1,4.16994e-08,1
0.08,1,-4.42248e-08,1
0.09,1,-1.92483e-07,1
0.1,1,-8.41454e-08,1
0.11,1,5.20655e-07,0.999999
0.12,0.999999,9.31499e-07,0.999999
0.13,1,-3.85947e-07,1
0.14,1,-3.33168e-06,1
0.15,1,-3.49157e-06,1
0.16,0.999996,4.66473e-06,0.999994
0.17,0.999985,1.72255e-05,0.99998
0.18,0.999987,1.52373e-05,0.999982
0.19,1.00001,-1.82155e-05,1.00002
0.2,1.00005,-6.21846e-05,1.00008
0.21,1.00003,-3.73806e-05,1.00005
0.22,0.999825,0.000215412,0.999734
0.23,0.999146,0.00102489,0.998771
0.24,0.997439,0.00304469,0.99639
0.25,0.99356,0.00763924,0.990985
0.26,0.984967,0.0178856,0.979019
0.27,0.968887,0.0372829,0.956706
0.28,0.946047,0.0652626,0.925283
0.29,0.919162,0.0988971,0.888681
0.3,0.890537,0.135598,0.850168
0.31,0.861534,0.17377,0.811641
0.32,0.832781,0.212645,0.773953
0.33,0.804522,0.251911,0.737419
0.34,0.776854,0.291438,0.702143
0.35,0.749828,0.331149,0.66817
0.36,0.723485,0.370973,0.635524
0.37,0.697866,0.410829,0.60423
0.38,0.673016,0.450622,0.574312
0.39,0.648975,0.490253,0.545787
0.4,0.625758,0.529654,0.518639
0.41,0.603335,0.568834,0.4928
0.42,0.581626,0.607893,0.468147
0.43,0.560534,0.646973,0.444545
0.44,0.540008,0.68615,0.421915
0.45,0.520106,0.725291,0.400299
0.46,0.500992,0.764014,0.379857
0.47,0.482846,0.801835,0.360773
0.48,0.465923,0.838145,0.343185
0.49,0.451118,0.871619,0.327748
0.5,0.439168,0.899106,0.315581
0.51,0.429284,0.919849,0.306265
0.52,0.423606,0.931963,0.301311
0.53,0.42246,0.93602,0.299758
0.54,0.423828,0.93514,0.299953
0.55,0.426257,0.931168,0.301566
0.56,0.428506,0.925701,0.303807
0.57,0.428911,0.921456,0.305473
0.58,0.427606,0.920576,0.306022
0.59,0.425842,0.921904,0.305347
0.6,0.424633,0.924676,0.304024
0.61,0.424837,0.927531,0.302737
0.62,0.425916,0.929428,0.301973
0.63,0.42695,0.930461,0.301857
0.64,0.427023,0.930499,0.302192
0.65,0.424752,0.929416,0.302744
0.66,0.416291,0.928174,0.303142
0.67,0.396657,0.92833,0.302947
0.68,0.367776,0.928413,0.302922
0.69,0.334506,0.928349,0.303071
0.7,0.302132,0.928455,0.303195
0.71,0.275971,0.927828,0.303027
0.72,0.260152,0.926786,0.302703
0.73,0.253752,0.927434,0.302952
0.74,0.252187,0.928547,0.303488
0.75,0.253159,0.929234,0.303919
0.76,0.255695,0.929164,0.304033
0.77,0.259056,0.92786,0.303666
0.78,0.262544,0.925814,0.303023
0.79,0.265679,0.924208,0.302474
0.8,0.268067,0.923456,0.302192
0.81,0.269255,0.922811,0.301963
0.82,0.268779,0.92094,0.301363
0.83,0.265678,0.91303,0.298658
0.84,0.256142,0.8769,0.287014
0.85,0.221729,0.706509,0.236549
0.86,0.158743,0.299455,0.145583
0.87,0.130063,0.0470612,0.106351
0.88,0.125643,0.00589711,0.100809
0.89,0.125026,0.000304995,0.100055
0.9,0.124981,-0.000139396,0.0999796
0.91,0.125005,2.35621e-05,0.100002
0.92,0.125004,3.22121e-05,0.100004
0.93,0.124999,-4.15604e-06,0.0999994
0.94,0.125,-4.33214e-06,0.0999994
0.95,0.125,1.19081e-06,0.1
0.96,0.125,6.04723e-07,0.1
0.97,0.125,-2.44147e-07,0.1
0.98,0.125,-7.6553e-08,0.1
0.99,0.125,2.78107e-08,0.1
1,0.125,0,0.1
